,matchid,player,date,team,accessed,opponent,Loc,G,A,PKSave,Ylw,Red,GLC,LMT,ELG,OG,MotM,SubOffMin,SubOnMin,SoT,KP,Drb,tkl,int,clr,blk,saves,AccCross,AccLB
0,1908346,Carl Rushworth,16-Aug-25,Coventry,2026-05-08,Derby,Away,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,5
1,1908346,Milan van Ewijk,16-Aug-25,Coventry,2026-05-08,Derby,Away,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,7,0,,0,0
2,1908346,Liam Kitching,16-Aug-25,Coventry,2026-05-08,Derby,Away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,7,0,,0,3
3,1908346,Bobby Thomas,16-Aug-25,Coventry,2026-05-08,Derby,Away,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,,0,4
4,1908346,Jay Dasilva,16-Aug-25,Coventry,2026-05-08,Derby,Away,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,3,0,,1,3
5,1908346,Victor Torp,16-Aug-25,Coventry,2026-05-08,Derby,Away,1,0,0,0,0,0,0,0,0,0,94,0,3,0,0,1,1,1,0,,0,1
6,1908346,Matt Grimes,16-Aug-25,Coventry,2026-05-08,Derby,Away,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,2,1,,2,5
7,1908346,Brandon Thomas-Asante,16-Aug-25,Coventry,2026-05-08,Derby,Away,1,0,0,0,0,0,0,0,0,0,96,0,1,0,0,1,0,1,1,,0,0
8,1908346,Jack Rudoni,16-Aug-25,Coventry,2026-05-08,Derby,Away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,0,0
9,1908346,Ephron Mason-Clark,16-Aug-25,Coventry,2026-05-08,Derby,Away,1,0,0,0,0,0,0,0,0,1,90,0,2,3,1,1,0,1,0,,1,0
10,1908346,Haji Wright,16-Aug-25,Coventry,2026-05-08,Derby,Away,1,0,0,1,0,0,0,0,0,0,90,0,2,1,0,0,0,0,0,,0,0
11,1908346,Raphael Borges Rodrigues,16-Aug-25,Coventry,2026-05-08,Derby,Away,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,2,0,,0,0
12,1908346,Kaine Kesler-Hayden,16-Aug-25,Coventry,2026-05-08,Derby,Away,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,1,0,,0,0
13,1908346,Ellis Simms,16-Aug-25,Coventry,2026-05-08,Derby,Away,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,,0,0
14,1908346,Jamie Allen,16-Aug-25,Coventry,2026-05-08,Derby,Away,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,1,,0,0
15,1908346,Miguel Ángel Brau,16-Aug-25,Coventry,2026-05-08,Derby,Away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
16,1908346,Justin Obikwu,16-Aug-25,Coventry,2026-05-08,Derby,Away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
17,1908346,Kai Andrews,16-Aug-25,Coventry,2026-05-08,Derby,Away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
18,1908346,Jake Bidwell,16-Aug-25,Coventry,2026-05-08,Derby,Away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
19,1908346,Ben Wilson,16-Aug-25,Coventry,2026-05-08,Derby,Away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
0,1943422,Ben Wilson,26-Aug-25,Coventry,2026-05-08,Millwall,Away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,,0,9
1,1943422,Kaine Kesler-Hayden,26-Aug-25,Coventry,2026-05-08,Millwall,Away,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,4,3,,1,2
